[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:14:43] Error: [2] Undefined array key "Description" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:148
[2024-12-09 06:14:43] Error: [2] Undefined array key "Image" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\saleslist.php:149
[2024-12-09 06:15:38] Error: [2] Undefined variable $tax - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:605
[2024-12-09 06:15:52] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:537
[2024-12-09 06:15:52] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:539
[2024-12-09 06:15:52] Error: [2] Undefined variable $tax - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:605
[2024-12-09 06:16:03] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:537
[2024-12-09 06:16:03] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:539
[2024-12-09 06:16:03] Error: [2] Undefined variable $tax - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:605
[2024-12-09 06:16:49] Error: [2] Undefined variable $tax - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:605
[2024-12-09 06:18:20] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:39
[2024-12-09 06:18:20] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:156
[2024-12-09 06:20:17] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:39
[2024-12-09 06:20:17] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:156
[2024-12-09 06:21:12] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:39
[2024-12-09 06:21:12] Error: [2] Array to string conversion - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\dashboard.php:156
