[2024-11-20 15:08:43] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:43] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:43] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:43] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:43] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:43] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:43] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:43] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:43] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:43] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:43] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:43] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:52] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:52] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:52] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:52] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:52] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:52] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:52] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:52] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:52] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:52] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:52] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:52] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:52] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:52] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:52] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:08:52] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:08:52] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:08:52] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:09:04] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:09:04] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:09:04] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:09:04] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
[2024-11-20 15:09:04] Error: [2] Undefined array key "satatus" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:645
[2024-11-20 15:09:04] Error: [2] Undefined variable $pos_id - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:682
[2024-11-20 15:09:04] Error: [2] Undefined array key "Product_id" - C:\Users\jesma\Desktop\inventory_system\yros-main\inventory_system\views\pages\checkout.php:643
